governance_item,review_rows,treatment,source_pipeline,pipeline_10_version
DC salary escalation not supplied in plan rules,0,0% salary-growth baseline used and explicitly flagged,Pipeline 08,P10-C01
DC opening member corpus unavailable,4318,Future-contribution corpus shown separately; pooled plan assets are not substituted,Pipeline 08,P10-C01
DB full competing-decrement survival unavailable,52,DB mortality-only survival used as flagged fallback,Pipeline 08,P10-C01
DB spouse continuation data incomplete,81,Known spouse stream valued; missing survivor data flagged,Pipeline 08,P10-C01
DB plan assets unavailable,0,Liability retained; funded status left unreported,Pipeline 08,P10-C01
EDLI Average Progressive Balance unavailable,0,Final statutory benefit is not fabricated; qualifying Part B range is shown instead.,Pipeline 09,P10-C01
EDLI continuity information unavailable,8501,Pipeline does not infer statutory continuity from ordinary completed service.,Pipeline 09,P10-C01
EDLI twelve-month average wage unavailable,8501,Current EDLI eligible wage is used only as an explicitly flagged analytical proxy.,Pipeline 09,P10-C01
Historical EDLI event requires historical rule set,24,Current statutory rule is not back-cast to earlier death dates.,Pipeline 09,P10-C01
GTI Pipeline 06 mortality unavailable,0,Same GTI plan-specific Gompertz-Makeham parameters are calculated directly and source is flagged.,Pipeline 09,P10-C01
GTI free-cover-limit underwriting referrals,624,Employee remains covered in analytical pricing basis; underwriting referral is reported separately.,Pipeline 09,P10-C01
Historical GTI exposure unavailable,0,Rows without defensible exposure are excluded from expected mortality experience.,Pipeline 09,P10-C01
GTI historical A/E credibility premium excluded from final portfolio KPI,3,Historical claims file does not represent a complete insured-member exposure denominator. Final dashboard premium therefore uses fresh expected claims divided by one minus the governed loading rate.,Pipeline 10,P10-C01
